alpha_anom,mode,attack,run_id,Radius,normal_pull_lambda
0,incremental,Backdoor,2025-12-28T04-09-50_incremental_xe1di6ws,2.0,0.001
0,incremental,Backdoor,2025-12-28T04-14-03_incremental_c42ofkts,2.0,0.005
0,incremental,Backdoor,2025-12-28T04-18-17_incremental_f62jjtg7,,0.001
0,incremental,Backdoor,2025-12-28T04-22-22_incremental_i5yroaac,,0.005
0,incremental,Backdoor,2025-12-28T04-26-28_incremental_mzhlh08c,0.25,0.001
0,incremental,Backdoor,2025-12-28T04-30-42_incremental_ibksk8xy,0.25,0.005
0,incremental,Backdoor,2025-12-28T04-34-55_incremental_lcrb3fc1,0.5,0.001
0,incremental,Backdoor,2025-12-28T04-39-07_incremental_7h7jtz4o,0.5,0.005
0,incremental,Backdoor,2025-12-28T04-43-24_incremental_zul4z3gx,1.0,0.001
0,incremental,Backdoor,2025-12-28T04-47-37_incremental_4tje3yvj,1.0,0.005
0,incremental,Backdoor,2025-12-28T04-51-49_incremental_5zdzp53o,2.0,0.001
0,incremental,Backdoor,2025-12-28T04-56-03_incremental_mkmcgzgl,2.0,0.005
0,incremental,Backdoor,2025-12-28T05-00-18_incremental_m5stcxcn,,0.001
0,incremental,Backdoor,2025-12-28T05-04-24_incremental_drk4j18b,,0.005
0,incremental,Backdoor,2025-12-28T05-08-30_incremental_c2oor2un,0.25,0.001
0,incremental,Backdoor,2025-12-28T05-12-43_incremental_tqvccvl5,0.25,0.005
0,incremental,Backdoor,2025-12-28T05-16-55_incremental_fah4s0j5,0.5,0.001
0,incremental,Backdoor,2025-12-28T05-21-08_incremental_zgwl3xi2,0.5,0.005
0,incremental,Backdoor,2025-12-28T05-25-20_incremental_stivywf2,1.0,0.001
0,incremental,Backdoor,2025-12-28T05-29-32_incremental_yp4s12lk,1.0,0.005
0,incremental,Backdoor,2025-12-28T05-33-52_incremental_u4wkhazg,2.0,0.001
0,incremental,Backdoor,2025-12-28T05-38-03_incremental_a7jq5z1x,2.0,0.005
0,incremental,Exploits,2025-12-28T05-43-12_incremental_ahbq6fr1,,0.001
0,incremental,Exploits,2025-12-28T05-50-56_incremental_zbpa9wdo,,0.005
0,incremental,Exploits,2025-12-28T05-58-19_incremental_5hwj0q0g,0.25,0.001
0,incremental,Exploits,2025-12-28T06-05-29_incremental_h2h50qlv,0.25,0.005
0,incremental,Exploits,2025-12-28T06-11-28_incremental_luhsvurj,0.5,0.001
0,incremental,Exploits,2025-12-28T06-15-59_incremental_zzlgiopy,0.5,0.005
0,incremental,Exploits,2025-12-28T06-20-29_incremental_p8b3bxt9,1.0,0.001
0,incremental,Exploits,2025-12-28T06-25-00_incremental_vs4ja81w,1.0,0.005
0,incremental,Exploits,2025-12-28T06-29-29_incremental_kuc731m8,2.0,0.001
0,incremental,Exploits,2025-12-28T06-33-57_incremental_imy0u7zq,2.0,0.005
0,incremental,Exploits,2025-12-28T06-38-28_incremental_hlqziaij,,0.001
0,incremental,Exploits,2025-12-28T06-42-48_incremental_ycsac3ri,,0.005
0,incremental,Exploits,2025-12-28T06-47-08_incremental_tfk8srag,0.25,0.001
0,incremental,Exploits,2025-12-28T06-51-38_incremental_039ohzaw,0.25,0.005
0,incremental,Exploits,2025-12-28T06-56-08_incremental_rrmy3tkc,0.5,0.001
0,incremental,Exploits,2025-12-28T07-00-38_incremental_0drju057,0.5,0.005
0,incremental,Exploits,2025-12-28T07-05-06_incremental_jl3c4tiu,1.0,0.001
0,incremental,Exploits,2025-12-28T07-09-36_incremental_gu6jzca6,1.0,0.005
0,incremental,Exploits,2025-12-28T07-14-03_incremental_5s72ivm1,2.0,0.001
0,incremental,Exploits,2025-12-28T07-18-31_incremental_o1ndf0qv,2.0,0.005
0,incremental,Exploits,2025-12-28T07-22-59_incremental_tflcko9h,,0.001
0,incremental,Exploits,2025-12-28T07-27-19_incremental_x9oa11sz,,0.005
0,incremental,Exploits,2025-12-28T07-31-27_incremental_omq4pt12,0.25,0.001
0,incremental,Exploits,2025-12-28T07-35-41_incremental_udidr2lm,0.25,0.005
0,incremental,Exploits,2025-12-28T07-39-53_incremental_78rdhi31,0.5,0.001
0,incremental,Exploits,2025-12-28T07-44-05_incremental_70y492xw,0.5,0.005
0,incremental,Exploits,2025-12-28T07-48-20_incremental_p4bv70mh,1.0,0.001
0,incremental,Exploits,2025-12-28T07-52-34_incremental_pprmma7p,1.0,0.005
0,incremental,Exploits,2025-12-28T07-56-50_incremental_ihgfair5,2.0,0.001
0,incremental,Exploits,2025-12-28T08-01-03_incremental_hrracu9k,2.0,0.005
0,incremental,Exploits,2025-12-28T08-05-17_incremental_nho2hg6m,,0.001
0,incremental,Exploits,2025-12-28T08-09-23_incremental_ybsc97cq,,0.005
0,incremental,Exploits,2025-12-28T08-13-29_incremental_ywd669gi,0.25,0.001
0,incremental,Exploits,2025-12-28T08-17-44_incremental_6zccf3uq,0.25,0.005
0,incremental,Exploits,2025-12-28T08-21-59_incremental_hdsz69jx,0.5,0.001
0,incremental,Exploits,2025-12-28T08-26-14_incremental_j5ermpqb,0.5,0.005
0,incremental,Exploits,2025-12-28T08-30-28_incremental_nn4c8ayj,1.0,0.001
0,incremental,Exploits,2025-12-28T08-34-41_incremental_9xheju72,1.0,0.005
0,incremental,Exploits,2025-12-28T08-38-56_incremental_soavt7dl,2.0,0.001
0,incremental,Exploits,2025-12-28T08-43-09_incremental_l8femp3n,2.0,0.005
0,incremental,Exploits,2025-12-28T08-47-24_incremental_btmwrr0t,,0.001
0,incremental,Exploits,2025-12-28T08-51-27_incremental_maegrkk9,,0.005
0,incremental,Exploits,2025-12-28T08-55-33_incremental_kkzuezky,0.25,0.001
0,incremental,Exploits,2025-12-28T08-59-46_incremental_n3ydbrnq,0.25,0.005
0,incremental,Exploits,2025-12-28T09-03-59_incremental_slwakph9,0.5,0.001
0,incremental,Exploits,2025-12-28T09-08-14_incremental_ie8abzx0,0.5,0.005
0,incremental,Exploits,2025-12-28T09-12-27_incremental_qr1rkaq9,1.0,0.001
0,incremental,Exploits,2025-12-28T09-16-46_incremental_qsbzehbi,1.0,0.005
0,incremental,Exploits,2025-12-28T09-21-00_incremental_g7aluagq,2.0,0.001
0,incremental,Exploits,2025-12-28T09-25-13_incremental_h89hypjs,2.0,0.005
0,incremental,Fuzzers,2025-12-28T09-29-28_incremental_j3w0uvcc,,0.001
0,incremental,Fuzzers,2025-12-28T09-33-34_incremental_92j67zct,,0.005
0,incremental,Fuzzers,2025-12-28T09-37-41_incremental_8qda3yhl,0.25,0.001
0,incremental,Fuzzers,2025-12-28T09-41-56_incremental_3i9vw2s6,0.25,0.005
0,incremental,Fuzzers,2025-12-28T09-46-09_incremental_osoojo36,0.5,0.001
0,incremental,Fuzzers,2025-12-28T09-50-23_incremental_anwvcv3a,0.5,0.005
0,incremental,Fuzzers,2025-12-28T09-54-35_incremental_hlvt59go,1.0,0.001
0,incremental,Fuzzers,2025-12-28T09-58-50_incremental_ouycd5m9,1.0,0.005
0,incremental,Fuzzers,2025-12-28T10-03-03_incremental_wwelsm19,2.0,0.001
0,incremental,Fuzzers,2025-12-28T10-07-16_incremental_2n40f2nz,2.0,0.005
0,incremental,Fuzzers,2025-12-28T10-11-29_incremental_bf8f4133,,0.001
0,incremental,Fuzzers,2025-12-28T10-15-34_incremental_aiyry8z0,,0.005
0,incremental,Fuzzers,2025-12-28T10-19-38_incremental_mm3k8c6r,0.25,0.001
0,incremental,Fuzzers,2025-12-28T10-23-50_incremental_49jzjad1,0.25,0.005
0,incremental,Fuzzers,2025-12-28T10-28-03_incremental_v5vqz8km,0.5,0.001
0,incremental,Fuzzers,2025-12-28T10-32-16_incremental_y0zj8ybv,0.5,0.005
0,incremental,Fuzzers,2025-12-28T10-36-30_incremental_rlh3j8x1,1.0,0.001
0,incremental,Fuzzers,2025-12-28T10-40-42_incremental_df879g5h,1.0,0.005
0,incremental,Fuzzers,2025-12-28T10-44-56_incremental_5teu3jdh,2.0,0.001
0,incremental,Fuzzers,2025-12-28T10-49-11_incremental_t6zrwd2h,2.0,0.005
0,incremental,Fuzzers,2025-12-28T10-53-24_incremental_x2bhcwpe,,0.001
0,incremental,Fuzzers,2025-12-28T10-57-30_incremental_03jlqfuv,,0.005
0,incremental,Fuzzers,2025-12-28T11-01-37_incremental_ee6b0cvb,0.25,0.001
0,incremental,Fuzzers,2025-12-28T11-05-51_incremental_577soy0r,0.25,0.005
0,incremental,Fuzzers,2025-12-28T11-10-07_incremental_vo303r76,0.5,0.001
0,incremental,Fuzzers,2025-12-28T11-14-22_incremental_smvoxz3n,0.5,0.005
0,incremental,Fuzzers,2025-12-28T11-18-34_incremental_qioa2iiu,1.0,0.001
0,incremental,Fuzzers,2025-12-28T11-22-49_incremental_llfmbjch,1.0,0.005
0,incremental,Fuzzers,2025-12-28T11-27-02_incremental_4bpy3j73,2.0,0.001
0,incremental,Fuzzers,2025-12-28T11-31-15_incremental_qairw5qk,2.0,0.005
0,incremental,Fuzzers,2025-12-28T11-35-27_incremental_13rcumg3,,0.001
0,incremental,Fuzzers,2025-12-28T11-39-30_incremental_cdh203ak,,0.005
0,incremental,Fuzzers,2025-12-28T11-43-34_incremental_fota6aej,0.25,0.001
0,incremental,Fuzzers,2025-12-28T11-47-48_incremental_vyte3mdw,0.25,0.005
0,incremental,Fuzzers,2025-12-28T11-52-03_incremental_dxwgh7an,0.5,0.001
0,incremental,Fuzzers,2025-12-28T11-56-18_incremental_sumq0hvw,0.5,0.005
0,incremental,Fuzzers,2025-12-28T12-00-33_incremental_321eu2bs,1.0,0.001
0,incremental,Fuzzers,2025-12-28T12-04-47_incremental_ljejouhy,1.0,0.005
0,incremental,Fuzzers,2025-12-28T12-09-02_incremental_tahfcfig,2.0,0.001
0,incremental,Fuzzers,2025-12-28T12-13-16_incremental_stsqvi3s,2.0,0.005
0,incremental,Fuzzers,2025-12-28T12-17-28_incremental_w0fb15h7,,0.001
0,incremental,Fuzzers,2025-12-28T12-21-33_incremental_6yzzb3id,,0.005
0,incremental,Fuzzers,2025-12-28T12-25-40_incremental_h6kr9si0,0.25,0.001
0,incremental,Fuzzers,2025-12-28T12-29-54_incremental_a2xmbhqn,0.25,0.005
0,incremental,Fuzzers,2025-12-28T12-34-08_incremental_dhdxm5zh,0.5,0.001
0,incremental,Fuzzers,2025-12-28T12-38-22_incremental_eqs6u1wk,0.5,0.005
0,incremental,Fuzzers,2025-12-28T12-42-37_incremental_irprl9t7,1.0,0.001
0,incremental,Fuzzers,2025-12-28T12-46-52_incremental_qdlfktov,1.0,0.005
0,incremental,Fuzzers,2025-12-28T12-51-05_incremental_o0x54vsa,2.0,0.001
0,incremental,Fuzzers,2025-12-28T12-55-20_incremental_9bs7yibg,2.0,0.005
0,incremental,Generic,2025-12-28T12-59-36_incremental_vc5wtu1d,,0.001
0,incremental,Generic,2025-12-28T13-03-41_incremental_ufixho3h,,0.005
0,incremental,Generic,2025-12-28T13-07-48_incremental_ds1w3g0x,0.25,0.001
0,incremental,Generic,2025-12-28T13-12-01_incremental_mait7h85,0.25,0.005
0,incremental,Generic,2025-12-28T13-16-14_incremental_cztey1ia,0.5,0.001
0,incremental,Generic,2025-12-28T13-20-30_incremental_5tevxl8y,0.5,0.005
0,incremental,Generic,2025-12-28T13-24-44_incremental_ievo8a3a,1.0,0.001
0,incremental,Generic,2025-12-28T13-28-56_incremental_yeqy2y0i,1.0,0.005
0,incremental,Generic,2025-12-28T13-33-09_incremental_ti8aerfc,2.0,0.001
0,incremental,Generic,2025-12-28T13-37-22_incremental_3hpr1sla,2.0,0.005
0,incremental,Generic,2025-12-28T13-41-35_incremental_iqq88h13,,0.001
0,incremental,Generic,2025-12-28T13-45-41_incremental_j7lerwob,,0.005
0,incremental,Generic,2025-12-28T13-49-46_incremental_ky9e90vq,0.25,0.001
0,incremental,Generic,2025-12-28T13-53-59_incremental_9q8yp5yi,0.25,0.005
0,incremental,Generic,2025-12-28T13-58-14_incremental_flc24upq,0.5,0.001
0,incremental,Generic,2025-12-28T14-02-28_incremental_c5o655zd,0.5,0.005
0,incremental,Generic,2025-12-28T14-06-42_incremental_9c5q1euo,1.0,0.001
0,incremental,Generic,2025-12-28T14-10-57_incremental_nnievnox,1.0,0.005
0,incremental,Generic,2025-12-28T14-15-10_incremental_9fhuj6zg,2.0,0.001
0,incremental,Generic,2025-12-28T14-19-23_incremental_u0jpwvuj,2.0,0.005
0,incremental,Generic,2025-12-28T14-23-37_incremental_qui0sau0,,0.001
0,incremental,Generic,2025-12-28T14-27-44_incremental_i0v4fvaa,,0.005
0,incremental,Generic,2025-12-28T14-31-49_incremental_tgtk7oxu,0.25,0.001
0,incremental,Generic,2025-12-28T14-36-05_incremental_5rk54jye,0.25,0.005
0,incremental,Generic,2025-12-28T14-40-19_incremental_qichxdyh,0.5,0.001
0,incremental,Generic,2025-12-28T14-44-32_incremental_8p42ejj5,0.5,0.005
0,incremental,Generic,2025-12-28T14-48-48_incremental_zb8z12a9,1.0,0.001
0,incremental,Generic,2025-12-28T14-53-00_incremental_jqlmzo0f,1.0,0.005
0,incremental,Generic,2025-12-28T14-57-19_incremental_4qfewl3f,2.0,0.001
0,incremental,Generic,2025-12-28T15-01-34_incremental_q2odq9a6,2.0,0.005
0,incremental,Generic,2025-12-28T15-05-48_incremental_g71h9hhb,,0.001
0,incremental,Generic,2025-12-28T15-09-56_incremental_j2eofd1l,,0.005
0,incremental,Generic,2025-12-28T15-14-02_incremental_qaer4mrj,0.25,0.001
0,incremental,Generic,2025-12-28T15-18-18_incremental_84elw7f4,0.25,0.005
0,incremental,Generic,2025-12-28T15-22-32_incremental_gt0o00od,0.5,0.001
0,incremental,Generic,2025-12-28T15-26-46_incremental_zrta6xtu,0.5,0.005
0,incremental,Generic,2025-12-28T15-31-01_incremental_i0nyza4x,1.0,0.001
0,incremental,Generic,2025-12-28T15-35-14_incremental_ruzyshvb,1.0,0.005
0,incremental,Generic,2025-12-28T15-39-30_incremental_4napbyzq,2.0,0.001
0,incremental,Generic,2025-12-28T15-43-43_incremental_jqvadhce,2.0,0.005
0,incremental,Generic,2025-12-28T15-47-56_incremental_rtu9iis0,,0.001
0,incremental,Generic,2025-12-28T15-52-02_incremental_wfmo6rot,,0.005
0,incremental,Generic,2025-12-28T15-56-08_incremental_1ziw6ctv,0.25,0.001
0,incremental,Generic,2025-12-28T16-00-38_incremental_5zf6k6pq,0.25,0.005
0,incremental,Generic,2025-12-28T16-05-29_incremental_qvijstlo,0.5,0.001
0,incremental,Generic,2025-12-28T16-09-56_incremental_mxr519oj,0.5,0.005
0,incremental,Generic,2025-12-28T16-14-24_incremental_zg5iznji,1.0,0.001
0,incremental,Generic,2025-12-28T16-18-50_incremental_7qu5mbp4,1.0,0.005
0,incremental,Generic,2025-12-28T16-23-17_incremental_062arzu2,2.0,0.001
0,incremental,Generic,2025-12-28T16-27-45_incremental_xpddduf2,2.0,0.005
0,incremental,Reconnaissance,2025-12-28T16-32-11_incremental_8gkt1wt8,,0.001
0,incremental,Reconnaissance,2025-12-28T16-36-29_incremental_z0b8ejsg,,0.005
0,incremental,Reconnaissance,2025-12-28T16-40-39_incremental_upyat88t,0.25,0.001
0,incremental,Reconnaissance,2025-12-28T16-44-52_incremental_30m2h6od,0.25,0.005
0,incremental,Reconnaissance,2025-12-28T16-49-06_incremental_ckx25yzi,0.5,0.001
0,incremental,Reconnaissance,2025-12-28T16-53-18_incremental_pwvn8lxl,0.5,0.005
0,incremental,Reconnaissance,2025-12-28T16-57-51_incremental_1inda853,1.0,0.001
