alpha_anom,mode,attack,run_id,Radius
0,incremental,DoS,2025-12-25T03-16-33_incremental_annkvz4s,10.0
0,incremental,DoS,2025-12-25T03-21-45_incremental_1a7f0qe2,
0,incremental,DoS,2025-12-25T03-26-58_incremental_8b84qf0s,0.5
0,incremental,DoS,2025-12-25T03-30-12_incremental_c09lir7e,1.0
0,incremental,DoS,2025-12-25T03-33-17_incremental_5yfh15cr,2.0
0,incremental,DoS,2025-12-25T03-36-19_incremental_33i32y8m,10.0
0,incremental,DoS,2025-12-25T03-39-19_incremental_41oemwgm,
0,incremental,DoS,2025-12-25T03-42-17_incremental_6po2asts,0.5
0,incremental,DoS,2025-12-25T03-45-19_incremental_4gj12z42,1.0
0,incremental,DoS,2025-12-25T03-48-40_incremental_dikatka4,2.0
0,incremental,DoS,2025-12-25T03-51-48_incremental_sgac6toz,10.0
0,incremental,Analysis,2025-12-25T03-54-45_incremental_37h3m6g4,
0,incremental,Analysis,2025-12-25T03-57-43_incremental_gpft0e2l,0.5
0,incremental,Analysis,2025-12-25T04-00-43_incremental_5ki9r9dv,1.0
0,incremental,Analysis,2025-12-25T04-03-38_incremental_kuol5j7j,2.0
0,incremental,Analysis,2025-12-25T04-06-30_incremental_5ddk3aep,10.0
0,incremental,Analysis,2025-12-25T04-09-18_incremental_sb99jb8k,
0,incremental,Analysis,2025-12-25T04-12-07_incremental_n1djmuho,0.5
0,incremental,Analysis,2025-12-25T04-14-57_incremental_7anmr6nq,1.0
0,incremental,Analysis,2025-12-25T04-17-48_incremental_a2q9yk3g,2.0
0,incremental,Analysis,2025-12-25T04-20-36_incremental_awm1a116,10.0
0,incremental,Analysis,2025-12-25T04-23-26_incremental_t7lip9g4,
0,incremental,Analysis,2025-12-25T04-26-16_incremental_exiv6jv5,0.5
0,incremental,Analysis,2025-12-25T04-29-06_incremental_z36az230,1.0
0,incremental,Analysis,2025-12-25T04-31-57_incremental_gdsxw412,2.0
0,incremental,Analysis,2025-12-25T04-34-46_incremental_k5tz5lzi,10.0
0,incremental,Analysis,2025-12-25T04-37-36_incremental_zusj7bwr,
0,incremental,Analysis,2025-12-25T04-40-24_incremental_wbn9s875,0.5
0,incremental,Analysis,2025-12-25T04-43-15_incremental_4evn9eq4,1.0
0,incremental,Analysis,2025-12-25T04-46-09_incremental_xgp5hhs7,2.0
0,incremental,Analysis,2025-12-25T04-49-00_incremental_dv32m573,10.0
0,incremental,Analysis,2025-12-25T04-51-50_incremental_xrsmko6t,
0,incremental,Analysis,2025-12-25T04-54-40_incremental_0y9czvhz,0.5
0,incremental,Analysis,2025-12-25T04-57-33_incremental_gpk63exd,1.0
0,incremental,Analysis,2025-12-25T05-00-03_incremental_yduutj7f,2.0
0,incremental,Analysis,2025-12-25T05-02-32_incremental_h66byus1,10.0
0,incremental,Backdoor,2025-12-25T05-04-59_incremental_42fafztu,
0,incremental,Backdoor,2025-12-25T05-07-28_incremental_7tsruft8,0.5
0,incremental,Backdoor,2025-12-25T05-09-55_incremental_jro0f0mh,1.0
0,incremental,Backdoor,2025-12-25T05-12-23_incremental_cr8km5c1,2.0
0,incremental,Backdoor,2025-12-25T05-15-25_incremental_3kq3vjpm,10.0
0,incremental,Backdoor,2025-12-25T05-18-15_incremental_fcs43jpn,
0,incremental,Backdoor,2025-12-25T05-21-05_incremental_0gxbnbw0,0.5
0,incremental,Backdoor,2025-12-25T05-24-06_incremental_i3t69rsl,1.0
0,incremental,Backdoor,2025-12-25T05-27-00_incremental_p3rqcqw1,2.0
0,incremental,Backdoor,2025-12-25T05-29-40_incremental_sqpymnoy,10.0
0,incremental,Backdoor,2025-12-25T05-32-13_incremental_2qnyjs14,
0,incremental,Backdoor,2025-12-25T05-34-47_incremental_zte6dcsv,0.5
0,incremental,Backdoor,2025-12-25T05-37-20_incremental_7tbp136x,1.0
0,incremental,Backdoor,2025-12-25T05-39-49_incremental_s3adqxx0,2.0
0,incremental,Backdoor,2025-12-25T05-42-21_incremental_qx1vm2rv,10.0
0,incremental,Backdoor,2025-12-25T05-44-54_incremental_tpkoqnyb,
0,incremental,Backdoor,2025-12-25T05-47-28_incremental_5yh63v0e,0.5
0,incremental,Backdoor,2025-12-25T05-49-59_incremental_8bcuy14r,1.0
0,incremental,Backdoor,2025-12-25T05-52-32_incremental_okhfozn8,2.0
0,incremental,Backdoor,2025-12-25T05-55-05_incremental_nef4f1n4,10.0
0,incremental,Backdoor,2025-12-25T05-57-38_incremental_oyjwex5g,
0,incremental,Backdoor,2025-12-25T06-00-10_incremental_nfhnndi6,0.5
0,incremental,Backdoor,2025-12-25T06-02-42_incremental_1pngj1vh,1.0
0,incremental,Backdoor,2025-12-25T06-05-17_incremental_0lgit3s6,2.0
0,incremental,Backdoor,2025-12-25T06-07-43_incremental_tiqxp77b,10.0
0,incremental,Exploits,2025-12-25T06-10-10_incremental_pcql26sx,
0,incremental,Exploits,2025-12-25T06-12-37_incremental_xhiwouct,0.5
0,incremental,Exploits,2025-12-25T06-15-04_incremental_mm5us2tx,1.0
0,incremental,Exploits,2025-12-25T06-17-31_incremental_y2xxfu1j,2.0
0,incremental,Exploits,2025-12-25T06-19-57_incremental_wgzdo4pd,10.0
0,incremental,Exploits,2025-12-25T06-22-23_incremental_rsgu4hma,
0,incremental,Exploits,2025-12-25T06-24-53_incremental_7edz8ij5,0.5
0,incremental,Exploits,2025-12-25T06-27-20_incremental_3sdi9cqv,1.0
0,incremental,Exploits,2025-12-25T06-29-46_incremental_uqk47nc5,2.0
0,incremental,Exploits,2025-12-25T06-32-14_incremental_a0koipst,10.0
0,incremental,Exploits,2025-12-25T06-34-38_incremental_ivkehu7n,
0,incremental,Exploits,2025-12-25T06-37-04_incremental_hu1e8j12,0.5
0,incremental,Exploits,2025-12-25T06-39-31_incremental_f2v5uhse,1.0
0,incremental,Exploits,2025-12-25T06-41-57_incremental_9re5ja2y,2.0
0,incremental,Exploits,2025-12-25T06-44-24_incremental_byjas01q,10.0
0,incremental,Exploits,2025-12-25T06-46-52_incremental_m446ukee,
0,incremental,Exploits,2025-12-25T06-49-18_incremental_i0w60u7r,0.5
0,incremental,Exploits,2025-12-25T06-51-44_incremental_vpdksfi1,1.0
0,incremental,Exploits,2025-12-25T06-54-12_incremental_9wavok89,2.0
0,incremental,Exploits,2025-12-25T06-56-39_incremental_s5wfqbzb,10.0
0,incremental,Exploits,2025-12-25T06-59-05_incremental_1q8du9oa,
0,incremental,Exploits,2025-12-25T07-01-30_incremental_4ls8fbc7,0.5
0,incremental,Exploits,2025-12-25T07-03-56_incremental_plh20r7j,1.0
0,incremental,Exploits,2025-12-25T07-06-21_incremental_yhgfd57l,2.0
0,incremental,Exploits,2025-12-25T07-08-46_incremental_eedg6kam,10.0
0,incremental,Fuzzers,2025-12-25T07-11-12_incremental_m2vv5bi2,
0,incremental,Fuzzers,2025-12-25T07-13-39_incremental_f9dzzhuk,0.5
0,incremental,Fuzzers,2025-12-25T07-16-04_incremental_0wum0qgh,1.0
0,incremental,Fuzzers,2025-12-25T07-18-29_incremental_d01arsj9,2.0
0,incremental,Fuzzers,2025-12-25T07-20-55_incremental_1aurfed2,10.0
0,incremental,Fuzzers,2025-12-25T07-23-21_incremental_3kq4c14p,
0,incremental,Fuzzers,2025-12-25T07-25-47_incremental_jroua910,0.5
0,incremental,Fuzzers,2025-12-25T07-28-13_incremental_ihor0iga,1.0
0,incremental,Fuzzers,2025-12-25T07-30-40_incremental_b8xfblsp,2.0
0,incremental,Fuzzers,2025-12-25T07-33-16_incremental_w81dfxv5,10.0
0,incremental,Fuzzers,2025-12-25T07-35-42_incremental_cm20kopi,
0,incremental,Fuzzers,2025-12-25T07-38-09_incremental_ullwqxcj,0.5
0,incremental,Fuzzers,2025-12-25T07-40-34_incremental_oyb3cl6z,1.0
0,incremental,Fuzzers,2025-12-25T07-42-59_incremental_e5k5bxtw,2.0
0,incremental,Fuzzers,2025-12-25T07-45-26_incremental_c1kjp8gi,10.0
0,incremental,Fuzzers,2025-12-25T07-47-52_incremental_i95hhed8,
0,incremental,Fuzzers,2025-12-25T07-50-19_incremental_9f20r66u,0.5
0,incremental,Fuzzers,2025-12-25T07-52-45_incremental_6y6lsc21,1.0
0,incremental,Fuzzers,2025-12-25T07-55-11_incremental_h1bwcm9l,2.0
0,incremental,Fuzzers,2025-12-25T07-57-37_incremental_e4fkwdy8,10.0
0,incremental,Fuzzers,2025-12-25T08-00-02_incremental_r9n9lx42,
0,incremental,Fuzzers,2025-12-25T08-02-31_incremental_iiwhocso,0.5
0,incremental,Fuzzers,2025-12-25T08-04-56_incremental_acn95lyp,1.0
0,incremental,Fuzzers,2025-12-25T08-07-23_incremental_q3z4xbwx,2.0
0,incremental,Fuzzers,2025-12-25T08-09-48_incremental_cpvfigr4,10.0
0,incremental,Generic,2025-12-25T08-12-14_incremental_12glnwex,
0,incremental,Generic,2025-12-25T08-14-39_incremental_trez8nbw,0.5
0,incremental,Generic,2025-12-25T08-17-05_incremental_wdtheolc,1.0
0,incremental,Generic,2025-12-25T08-19-32_incremental_pcu34vzt,2.0
0,incremental,Generic,2025-12-25T08-21-59_incremental_emxefo1o,10.0
0,incremental,Generic,2025-12-25T08-24-26_incremental_5uyz7g2m,
0,incremental,Generic,2025-12-25T08-26-53_incremental_j9x9vxan,0.5
0,incremental,Generic,2025-12-25T08-29-18_incremental_zvcalabv,1.0
0,incremental,Generic,2025-12-25T08-31-43_incremental_c02074ll,2.0
0,incremental,Generic,2025-12-25T08-34-10_incremental_v4ezm1d6,10.0
0,incremental,Generic,2025-12-25T08-36-36_incremental_mvvjr8rx,
0,incremental,Generic,2025-12-25T08-39-02_incremental_ykb4m17h,0.5
0,incremental,Generic,2025-12-25T08-41-29_incremental_z5sc46pd,1.0
0,incremental,Generic,2025-12-25T08-43-55_incremental_emcoomf8,2.0
0,incremental,Generic,2025-12-25T08-46-19_incremental_pqjpb0ct,10.0
0,incremental,Generic,2025-12-25T08-48-45_incremental_v16a0k1y,
0,incremental,Generic,2025-12-25T08-51-11_incremental_hg2dpqcl,0.5
0,incremental,Generic,2025-12-25T08-53-37_incremental_sq3lqwjb,1.0
0,incremental,Generic,2025-12-25T08-56-04_incremental_bl9f5m9o,2.0
0,incremental,Generic,2025-12-25T08-58-29_incremental_d04g2aeq,10.0
0,incremental,Generic,2025-12-25T09-00-56_incremental_tnov09eb,
0,incremental,Generic,2025-12-25T09-03-22_incremental_mshxfhhs,0.5
0,incremental,Generic,2025-12-25T09-05-50_incremental_dyxg7fvb,1.0
0,incremental,Generic,2025-12-25T09-08-17_incremental_6r5qb7no,2.0
0,incremental,Generic,2025-12-25T09-10-43_incremental_4zue9n5t,10.0
0,incremental,Reconnaissance,2025-12-25T09-13-12_incremental_a5vogrbe,
0,incremental,Reconnaissance,2025-12-25T09-15-38_incremental_schu7e77,0.5
0,incremental,Reconnaissance,2025-12-25T09-18-03_incremental_0cp4t8zg,1.0
0,incremental,Reconnaissance,2025-12-25T09-20-31_incremental_d1ehchny,2.0
0,incremental,Reconnaissance,2025-12-25T09-22-55_incremental_7xumvbse,10.0
0,incremental,Reconnaissance,2025-12-25T09-25-22_incremental_tk24j7nm,
0,incremental,Reconnaissance,2025-12-25T09-27-46_incremental_vvia90oe,0.5
0,incremental,Reconnaissance,2025-12-25T09-30-12_incremental_ydrm4v78,1.0
0,incremental,Reconnaissance,2025-12-25T09-32-38_incremental_x2whor09,2.0
0,incremental,Reconnaissance,2025-12-25T09-35-05_incremental_aj2kzb7c,10.0
0,incremental,Reconnaissance,2025-12-25T09-37-31_incremental_hgzqvljq,
0,incremental,Reconnaissance,2025-12-25T09-39-57_incremental_a7543tnm,0.5
0,incremental,Reconnaissance,2025-12-25T09-42-24_incremental_mzg3p9z9,1.0
0,incremental,Reconnaissance,2025-12-25T09-44-50_incremental_h22otk5o,2.0
0,incremental,Reconnaissance,2025-12-25T09-47-14_incremental_xwjvo48r,10.0
0,incremental,Reconnaissance,2025-12-25T09-49-40_incremental_xddvhy8j,
0,incremental,Reconnaissance,2025-12-25T09-52-06_incremental_1am4pz9d,0.5
0,incremental,Reconnaissance,2025-12-25T09-54-32_incremental_30n3bxnk,1.0
0,incremental,Reconnaissance,2025-12-25T09-56-58_incremental_kbyjfsqp,2.0
0,incremental,Reconnaissance,2025-12-25T09-59-23_incremental_ycr3few7,10.0
0,incremental,Reconnaissance,2025-12-25T10-01-50_incremental_ft0no80j,
0,incremental,Reconnaissance,2025-12-25T10-04-15_incremental_xyl283z2,0.5
0,incremental,Reconnaissance,2025-12-25T10-06-40_incremental_8rnc1rgz,1.0
0,incremental,Reconnaissance,2025-12-25T10-09-06_incremental_x3mulv2a,2.0
0,incremental,Reconnaissance,2025-12-25T10-11-32_incremental_m7g5764r,10.0
0,incremental,Shellcode,2025-12-25T10-13-58_incremental_y6srmhp4,
0,incremental,Shellcode,2025-12-25T10-16-26_incremental_na89mjd0,0.5
0,incremental,Shellcode,2025-12-25T10-18-53_incremental_05dz9h95,1.0
0,incremental,Shellcode,2025-12-25T10-21-19_incremental_9ct6bv4q,2.0
0,incremental,Shellcode,2025-12-25T10-23-46_incremental_jumefzjh,10.0
0,incremental,Shellcode,2025-12-25T10-26-12_incremental_vh3hu6i7,
0,incremental,Shellcode,2025-12-25T10-28-39_incremental_yrwyepk2,0.5
0,incremental,Shellcode,2025-12-25T10-31-05_incremental_13uikneb,1.0
0,incremental,Shellcode,2025-12-25T10-33-31_incremental_xupxg481,2.0
0,incremental,Shellcode,2025-12-25T16-44-35_incremental_ier4qt7t,10.0
0,incremental,Shellcode,2025-12-25T16-47-13_incremental_3gc7mm91,
0,incremental,Shellcode,2025-12-25T16-49-53_incremental_2tc0yutj,0.5
0,incremental,Shellcode,2025-12-25T16-52-30_incremental_2l4fvow2,1.0
0,incremental,Shellcode,2025-12-25T16-55-12_incremental_0tduluyk,2.0
0,incremental,Shellcode,2025-12-25T16-57-50_incremental_myb8o4ac,10.0
