alpha_anom,mode,attack,run_id
10.0,single,Backdoor,2025-12-12T02-06-45_single_lmtyren4
0,incremental,Exploits,2025-12-12T02-07-24_incremental_l48hpnf9
0.1,incremental,Exploits,2025-12-12T02-09-55_incremental_zdi9wtsj
0.3,incremental,Exploits,2025-12-12T02-12-45_incremental_wc2bq141
0.5,incremental,Exploits,2025-12-12T02-15-30_incremental_9sez6dv5
1.0,incremental,Exploits,2025-12-12T02-18-14_incremental_idv185cz
2.0,incremental,Exploits,2025-12-12T02-21-01_incremental_ukldl9zq
4.0,incremental,Exploits,2025-12-12T02-23-47_incremental_jx2b34xe
6.0,incremental,Exploits,2025-12-12T02-26-34_incremental_xovjs75u
8.0,incremental,Exploits,2025-12-12T02-29-23_incremental_g8afk7mn
10.0,incremental,Exploits,2025-12-12T02-32-13_incremental_z65ceido
0,single,Exploits,2025-12-12T02-35-02_single_83sd1y36
0.1,single,Exploits,2025-12-12T02-35-36_single_cuuz1d2t
0.3,single,Exploits,2025-12-12T02-36-16_single_irxkm4o3
0.5,single,Exploits,2025-12-12T02-36-59_single_gzj4ihbg
1.0,single,Exploits,2025-12-12T02-37-39_single_9qe6xfhh
2.0,single,Exploits,2025-12-12T02-38-19_single_a1pmg9wj
4.0,single,Exploits,2025-12-12T02-38-59_single_zj1w38bd
6.0,single,Exploits,2025-12-12T02-39-36_single_pgbxcuwh
8.0,single,Exploits,2025-12-12T02-40-18_single_ao6mhfm9
10.0,single,Exploits,2025-12-12T02-40-59_single_wz42k1br
0,incremental,Fuzzers,2025-12-12T02-41-40_incremental_mp60pvv4
0.1,incremental,Fuzzers,2025-12-12T02-44-20_incremental_k9dp8kwd
0.3,incremental,Fuzzers,2025-12-12T02-47-05_incremental_wnj2h9os
0.5,incremental,Fuzzers,2025-12-12T02-49-57_incremental_9n6gt8k0
1.0,incremental,Fuzzers,2025-12-12T02-52-45_incremental_2e1461rj
2.0,incremental,Fuzzers,2025-12-12T02-55-33_incremental_7j3l5vw1
4.0,incremental,Fuzzers,2025-12-12T02-58-20_incremental_mcnd6dz5
6.0,incremental,Fuzzers,2025-12-12T03-01-11_incremental_iwb5o2hw
8.0,incremental,Fuzzers,2025-12-12T03-03-56_incremental_m7kvsndz
10.0,incremental,Fuzzers,2025-12-12T03-06-42_incremental_ivwpks9b
0,single,Fuzzers,2025-12-12T03-09-29_single_sof7q8y7
0.1,single,Fuzzers,2025-12-12T03-10-06_single_j10q179u
0.3,single,Fuzzers,2025-12-12T03-10-45_single_t8ualdvy
0.5,single,Fuzzers,2025-12-12T03-11-25_single_te1ko29x
1.0,single,Fuzzers,2025-12-12T03-12-06_single_mamvp9ma
2.0,single,Fuzzers,2025-12-12T03-12-45_single_3q1fnv1m
4.0,single,Fuzzers,2025-12-12T03-13-23_single_ds9dhu4r
6.0,single,Fuzzers,2025-12-12T03-14-02_single_0jynwu5k
8.0,single,Fuzzers,2025-12-12T03-14-44_single_w41ipxmu
10.0,single,Fuzzers,2025-12-12T03-15-24_single_wo0ney0w
0,incremental,Generic,2025-12-12T03-16-06_incremental_acqggehv
0.1,incremental,Generic,2025-12-12T03-18-37_incremental_zc5u1woe
0.3,incremental,Generic,2025-12-12T03-21-26_incremental_0qcaiajr
0.5,incremental,Generic,2025-12-12T03-24-12_incremental_mexqx7er
1.0,incremental,Generic,2025-12-12T03-27-03_incremental_1yz73xk7
2.0,incremental,Generic,2025-12-12T03-29-52_incremental_qq32mcrr
4.0,incremental,Generic,2025-12-12T03-32-37_incremental_019b4oei
6.0,incremental,Generic,2025-12-12T03-35-25_incremental_zxq6maov
8.0,incremental,Generic,2025-12-12T03-38-13_incremental_6z82hz4w
10.0,incremental,Generic,2025-12-12T03-41-01_incremental_0k4d0puy
0,single,Generic,2025-12-12T03-43-50_single_l8ig43j3
0.1,single,Generic,2025-12-12T03-44-27_single_hktnnjss
0.3,single,Generic,2025-12-12T03-45-07_single_g2oc042h
0.5,single,Generic,2025-12-12T03-45-48_single_uadbbweg
1.0,single,Generic,2025-12-12T03-46-27_single_16acyro0
2.0,single,Generic,2025-12-12T03-47-06_single_wqh02xoq
4.0,single,Generic,2025-12-12T03-47-43_single_ysk8nu15
6.0,single,Generic,2025-12-12T03-48-23_single_1rr9p8ob
8.0,single,Generic,2025-12-12T03-49-01_single_slvasea1
10.0,single,Generic,2025-12-12T03-49-39_single_tedu6v3r
0,incremental,Reconnaissance,2025-12-12T03-50-21_incremental_va9o003a
0.1,incremental,Reconnaissance,2025-12-12T03-52-51_incremental_nbjnjqii
0.3,incremental,Reconnaissance,2025-12-12T03-55-41_incremental_7m5n0fn4
0.5,incremental,Reconnaissance,2025-12-12T03-58-30_incremental_5xlryyic
1.0,incremental,Reconnaissance,2025-12-12T04-01-20_incremental_px8hxhm9
2.0,incremental,Reconnaissance,2025-12-12T04-04-12_incremental_sm0uymva
4.0,incremental,Reconnaissance,2025-12-12T04-07-01_incremental_uplaph3h
6.0,incremental,Reconnaissance,2025-12-12T04-09-51_incremental_zskfckn1
8.0,incremental,Reconnaissance,2025-12-12T04-12-40_incremental_1yhinc34
10.0,incremental,Reconnaissance,2025-12-12T04-15-30_incremental_yhz6efwf
0,single,Reconnaissance,2025-12-12T04-18-19_single_pseubk3m
0.1,single,Reconnaissance,2025-12-12T04-18-55_single_j05xhlpe
0.3,single,Reconnaissance,2025-12-12T04-19-35_single_ybouhear
0.5,single,Reconnaissance,2025-12-12T04-20-16_single_qjde2507
1.0,single,Reconnaissance,2025-12-12T04-20-57_single_t8z15xz4
2.0,single,Reconnaissance,2025-12-12T04-21-39_single_opr0qq6s
4.0,single,Reconnaissance,2025-12-12T04-22-19_single_fcy51c6u
6.0,single,Reconnaissance,2025-12-12T04-23-01_single_l9y92dvj
8.0,single,Reconnaissance,2025-12-12T04-23-40_single_bkpy96d8
10.0,single,Reconnaissance,2025-12-12T04-24-18_single_p8be0v8i
0,incremental,Shellcode,2025-12-12T04-24-59_incremental_qx61qjve
0.1,incremental,Shellcode,2025-12-12T04-27-31_incremental_ov0tf4bi
0.3,incremental,Shellcode,2025-12-12T04-30-20_incremental_rntr7r6k
0.5,incremental,Shellcode,2025-12-12T04-33-11_incremental_2kwuq0af
1.0,incremental,Shellcode,2025-12-12T04-35-59_incremental_la9j1sy5
2.0,incremental,Shellcode,2025-12-12T04-38-43_incremental_mrhgzel0
4.0,incremental,Shellcode,2025-12-12T04-41-33_incremental_nmb3ygzc
6.0,incremental,Shellcode,2025-12-12T04-44-17_incremental_dbls6vvf
8.0,incremental,Shellcode,2025-12-12T04-47-06_incremental_7zqf2b93
10.0,incremental,Shellcode,2025-12-12T04-49-54_incremental_9972yc1x
0,single,Shellcode,2025-12-12T04-52-40_single_nh3ebmxc
0.1,single,Shellcode,2025-12-12T04-53-16_single_lxag7ysa
0.3,single,Shellcode,2025-12-12T04-53-58_single_drcl5k19
0.5,single,Shellcode,2025-12-12T04-54-40_single_l55lfzum
1.0,single,Shellcode,2025-12-12T04-55-21_single_m7icbhix
2.0,single,Shellcode,2025-12-12T04-55-59_single_pifoz3q6
4.0,single,Shellcode,2025-12-12T04-56-40_single_czze4lvn
6.0,single,Shellcode,2025-12-12T04-57-20_single_pe6su6ta
8.0,single,Shellcode,2025-12-12T04-58-00_single_9nk3t3n6
10.0,single,Shellcode,2025-12-12T04-58-41_single_2zloqy4g
